Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
167,13550.0,37380.0,33500.0,40590.0,81880.0,142500.0,27360.0,36340.0,19400.0,14900.0,2023.0
168,13550.0,37400.0,34590.0,40410.0,82870.0,142500.0,28960.0,36950.0,19400.0,14900.0,2023.0
169,13550.0,38320.0,34920.0,42820.0,89040.0,144840.0,30050.0,37710.0,19400.0,14900.0,2023.0
170,13550.0,36360.0,34300.0,40090.0,72010.0,144150.0,29850.0,36310.0,19400.0,14900.0,2023.0
171,13550.0,36210.0,33520.0,37520.0,55350.0,144150.0,28640.0,36710.0,19400.0,14900.0,2023.0
172,13550.0,36450.0,33470.0,34200.0,40330.0,142830.0,27520.0,36390.0,19400.0,14900.0,2023.0
173,13550.0,42800.0,34570.0,47870.0,42950.0,149510.0,28300.0,38670.0,19400.0,14900.0,2023.0
174,13550.0,45000.0,36340.0,38620.0,37520.0,147340.0,28140.0,40680.0,19400.0,14900.0,2023.0
175,13550.0,47750.0,36112.5,29987.5,30375.0,142500.0,27800.0,38362.5,19400.0,14900.0,2023.0
176,13550.0,46820.0,37610.0,34390.0,37600.0,141650.0,30030.0,37410.0,19400.0,14900.0,2023.0
177,13550.0,46090.0,38690.0,32870.0,39730.0,141650.0,32520.0,38440.0,19400.0,14900.0,2023.0
178,13550.0,45830.0,39100.0,31100.0,46080.0,141650.0,32500.0,40290.0,19400.0,14900.0,2023.0
179,13550.0,45370.0,38980.0,30930.0,46850.0,141650.0,31760.0,40330.0,19400.0,14900.0,2023.0
180,13550.0,45370.0,38790.0,31390.0,46960.0,141650.0,31660.0,41660.0,19400.0,14900.0,2023.0
181,13550.0,44030.0,38960.0,30350.0,41250.0,141650.0,30880.0,41680.0,19400.0,14900.0,2023.0
182,13550.0,43750.0,39490.0,30800.0,38580.0,141650.0,30350.0,42740.0,19400.0,14900.0,2023.0
183,13550.0,43380.0,39540.0,40780.0,41580.0,141650.0,31500.0,45960.0,19400.0,14900.0,2023.0
184,13670.0,41280.0,43550.0,36940.0,34420.0,141650.0,31500.0,44970.0,19400.0,14900.0,2023.0
185,13700.0,32440.0,43680.0,34200.0,31830.0,141650.0,32190.0,43040.0,19400.0,14900.0,2023.0
186,13700.0,30530.0,41820.0,34800.0,35130.0,141650.0,31680.0,41430.0,19400.0,14900.0,2023.0
187,13700.0,30470.0,41550.0,34220.0,38190.0,141650.0,31860.0,40480.0,19460.0,14960.0,2023.0
188,13700.0,30520.0,41300.0,37840.0,42190.0,141650.0,31650.0,38480.0,19500.0,15050.0,2023.0
189,13740.0,30510.0,41270.0,38030.0,46590.0,141650.0,31410.0,39730.0,19500.0,15050.0,2023.0
190,13900.0,30170.0,40640.0,39730.0,51400.0,141650.0,30350.0,41550.0,19500.0,15050.0,2023.0
191,13930.0,27040.0,39990.0,46640.0,46770.0,141650.0,28640.0,40400.0,19110.0,14990.0,2023.0
