,Tanggal,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun,Minggu ke
137,2020-07-10,12100.0,38500.0,20750.0,23600.0,27750.0,122500.0,25600.0,38900.0,13350.0,14300.0,2020,28
138,2020-07-13,12100.0,37400.0,20850.0,23100.0,32350.0,122500.0,26250.0,37150.0,13350.0,13900.0,2020,29
139,2020-07-14,12100.0,37100.0,20650.0,23600.0,32400.0,122500.0,26250.0,37150.0,13200.0,13900.0,2020,29
140,2020-07-15,11850.0,37000.0,20750.0,24650.0,32250.0,122500.0,26400.0,37400.0,13200.0,13900.0,2020,29
141,2020-07-16,11850.0,37000.0,20850.0,25000.0,33000.0,122500.0,26400.0,35900.0,13200.0,13750.0,2020,29
142,2020-07-17,11850.0,35750.0,20750.0,24400.0,32250.0,122500.0,26000.0,35850.0,13200.0,13750.0,2020,29
143,2020-07-20,11850.0,34850.0,20750.0,23650.0,30350.0,122500.0,26150.0,35600.0,13200.0,13750.0,2020,30
144,2020-07-21,11850.0,35400.0,21350.0,24350.0,29250.0,122500.0,26100.0,35350.0,13200.0,13750.0,2020,30
145,2020-07-22,11850.0,34250.0,21250.0,24850.0,27500.0,122500.0,26150.0,34650.0,13200.0,13750.0,2020,30
146,2020-07-23,11850.0,33100.0,20900.0,24400.0,27150.0,122500.0,26400.0,33750.0,13200.0,13750.0,2020,30
147,2020-07-24,11850.0,32900.0,21150.0,24100.0,26500.0,122500.0,26400.0,34150.0,13200.0,13750.0,2020,30
148,2020-07-27,11850.0,31250.0,20500.0,22900.0,27000.0,122500.0,26100.0,34100.0,13200.0,13550.0,2020,31
149,2020-07-28,11850.0,32100.0,21000.0,24100.0,28100.0,122500.0,26150.0,35350.0,13250.0,13550.0,2020,31
150,2020-07-29,11850.0,32250.0,21250.0,27000.0,29600.0,127100.0,26000.0,36650.0,13400.0,13650.0,2020,31
151,2020-07-30,11850.0,33350.0,21500.0,29350.0,31150.0,128750.0,25900.0,37150.0,13400.0,13650.0,2020,31
152,2020-07-31,,,,,,,,,,,2020,31
153,2020-08-03,11850.0,32850.0,21400.0,28400.0,30650.0,125850.0,25150.0,36250.0,13500.0,13750.0,2020,32
154,2020-08-04,11850.0,33600.0,20900.0,28500.0,31400.0,121650.0,25150.0,35750.0,13500.0,13750.0,2020,32
155,2020-08-05,11850.0,33350.0,20850.0,27350.0,29250.0,121650.0,25000.0,36250.0,13500.0,13750.0,2020,32
156,2020-08-06,11850.0,34250.0,20850.0,25900.0,29000.0,121650.0,25500.0,36000.0,13500.0,13750.0,2020,32
157,2020-08-07,11850.0,33400.0,21000.0,25100.0,28150.0,121650.0,25600.0,35350.0,13500.0,13750.0,2020,32
158,2020-08-10,11850.0,32900.0,20250.0,25600.0,27150.0,121650.0,25600.0,34500.0,13950.0,13750.0,2020,33
159,2020-08-11,11850.0,32250.0,20750.0,25350.0,27500.0,121650.0,25600.0,34100.0,13950.0,13750.0,2020,33
160,2020-08-12,11850.0,32750.0,20850.0,25400.0,26850.0,121650.0,25100.0,34150.0,13950.0,13750.0,2020,33
161,2020-08-13,11850.0,32650.0,21250.0,24750.0,26250.0,121650.0,25250.0,34100.0,13950.0,13750.0,2020,33
162,2020-08-14,11850.0,32400.0,21100.0,24350.0,26500.0,121650.0,24850.0,34150.0,13950.0,13750.0,2020,33
163,2020-08-17,,,,,,,,,,,2020,34
164,2020-08-18,11850.0,29150.0,22650.0,22500.0,24650.0,121650.0,25150.0,35000.0,13950.0,13750.0,2020,34
165,2020-08-19,11850.0,28750.0,22600.0,22400.0,24250.0,121650.0,24850.0,34600.0,13950.0,13750.0,2020,34
166,2020-08-20,,,,,,,,,,,2020,34
167,2020-08-21,,,,,,,,,,,2020,34
168,2020-08-24,11850.0,28400.0,23250.0,22150.0,22900.0,121650.0,25000.0,33250.0,13950.0,13500.0,2020,35
169,2020-08-25,11850.0,27900.0,23100.0,22250.0,23150.0,121650.0,24850.0,33350.0,13950.0,13500.0,2020,35
170,2020-08-26,11850.0,27650.0,22750.0,22000.0,22900.0,121650.0,24850.0,32400.0,13950.0,13550.0,2020,35
171,2020-08-27,11850.0,27250.0,23850.0,21900.0,23600.0,121650.0,24750.0,32600.0,13950.0,13550.0,2020,35
172,2020-08-28,11850.0,26750.0,24650.0,22600.0,24500.0,121650.0,24250.0,32600.0,13950.0,13550.0,2020,35
173,2020-08-31,11850.0,27900.0,25350.0,21600.0,25100.0,121650.0,23850.0,32500.0,14000.0,13550.0,2020,36
174,2020-09-01,11850.0,28350.0,25150.0,21400.0,24350.0,121650.0,23650.0,33150.0,14000.0,13550.0,2020,36
175,2020-09-02,11850.0,28000.0,24900.0,21850.0,24650.0,121650.0,23600.0,33850.0,14000.0,13550.0,2020,36
176,2020-09-03,11850.0,27850.0,24900.0,22150.0,25100.0,121650.0,24100.0,33500.0,14000.0,13550.0,2020,36
177,2020-09-04,11650.0,27600.0,24850.0,21650.0,24250.0,121650.0,24000.0,33650.0,14000.0,13550.0,2020,36
178,2020-09-07,11650.0,28850.0,26150.0,24850.0,25000.0,121650.0,23600.0,33850.0,14150.0,13550.0,2020,37
179,2020-09-08,11650.0,28150.0,26000.0,25100.0,25150.0,121650.0,23250.0,34100.0,14200.0,13550.0,2020,37
180,2020-09-09,11650.0,27600.0,25250.0,24850.0,25250.0,121650.0,23150.0,33500.0,14200.0,13550.0,2020,37
181,2020-09-10,11650.0,28350.0,25150.0,25000.0,25250.0,121650.0,23100.0,32750.0,14200.0,13550.0,2020,37
182,2020-09-11,11650.0,29400.0,25900.0,24850.0,25500.0,121650.0,22900.0,32350.0,14200.0,13650.0,2020,37
183,2020-09-14,11650.0,30350.0,25600.0,24600.0,25600.0,121650.0,22750.0,31600.0,14200.0,13600.0,2020,38
184,2020-09-15,11650.0,29350.0,25850.0,24350.0,26100.0,121650.0,22500.0,31350.0,14200.0,13600.0,2020,38
185,2020-09-16,11650.0,28500.0,25400.0,23900.0,25650.0,121650.0,22150.0,31250.0,14200.0,13600.0,2020,38
186,2020-09-17,11650.0,29350.0,25500.0,24100.0,25250.0,121650.0,22250.0,31600.0,14200.0,13600.0,2020,38
187,2020-09-18,11650.0,28750.0,24750.0,24600.0,25500.0,121650.0,22250.0,31900.0,14200.0,13600.0,2020,38
188,2020-09-21,11650.0,28900.0,25900.0,24750.0,24900.0,121650.0,21600.0,32400.0,14200.0,13600.0,2020,39
189,2020-09-22,11650.0,29100.0,25900.0,26500.0,26400.0,121650.0,22000.0,33100.0,14200.0,13600.0,2020,39
190,2020-09-23,11650.0,29000.0,25250.0,26850.0,27000.0,121650.0,22100.0,33000.0,14200.0,13600.0,2020,39
191,2020-09-24,11650.0,29400.0,25600.0,27350.0,27100.0,121650.0,21850.0,33350.0,14200.0,13600.0,2020,39
192,2020-09-25,11650.0,29750.0,26100.0,28400.0,26100.0,121650.0,21650.0,33250.0,14200.0,13600.0,2020,39
193,2020-09-28,11650.0,30600.0,26000.0,30850.0,26250.0,121650.0,21600.0,31400.0,14200.0,13600.0,2020,40
194,2020-09-29,11650.0,30650.0,25900.0,33150.0,28250.0,121650.0,21500.0,31400.0,14200.0,13600.0,2020,40
195,2020-09-30,11650.0,30250.0,26100.0,33350.0,29150.0,121650.0,21600.0,31100.0,14200.0,13600.0,2020,40
196,2020-10-01,11650.0,29750.0,26850.0,34850.0,29250.0,121650.0,21600.0,31500.0,14200.0,13600.0,2020,40
197,2020-10-02,11650.0,30150.0,25750.0,35250.0,27500.0,121650.0,21350.0,32350.0,14200.0,13600.0,2020,40
198,2020-10-05,11600.0,33850.0,26150.0,38650.0,27350.0,121650.0,21150.0,32650.0,14200.0,13600.0,2020,41
199,2020-10-06,11600.0,34350.0,26350.0,39250.0,27650.0,121650.0,20750.0,32750.0,14200.0,13600.0,2020,41
200,2020-10-07,11600.0,34100.0,25350.0,37750.0,25900.0,121650.0,20650.0,32750.0,14200.0,13600.0,2020,41
201,2020-10-08,11600.0,33750.0,25150.0,38900.0,26250.0,121650.0,20850.0,33100.0,14200.0,13600.0,2020,41
202,2020-10-09,11600.0,32850.0,25250.0,38750.0,26000.0,121650.0,20850.0,32400.0,14200.0,13600.0,2020,41
203,2020-10-12,11600.0,34100.0,25850.0,39750.0,25150.0,121650.0,21350.0,31600.0,14200.0,13600.0,2020,42
204,2020-10-13,11600.0,33850.0,25400.0,39650.0,25400.0,121650.0,21350.0,32100.0,14100.0,13600.0,2020,42
205,2020-10-14,11600.0,33350.0,25600.0,39000.0,25600.0,121650.0,21400.0,33000.0,14150.0,13600.0,2020,42
206,2020-10-15,11600.0,33750.0,26000.0,39900.0,26250.0,121650.0,21900.0,33100.0,14200.0,13600.0,2020,42
207,2020-10-16,11600.0,34600.0,25900.0,40300.0,25500.0,121650.0,22650.0,33650.0,14200.0,13600.0,2020,42
208,2020-10-19,11600.0,34400.0,25400.0,39350.0,25850.0,121650.0,23650.0,34600.0,14200.0,13400.0,2020,43
209,2020-10-20,11600.0,34650.0,25100.0,39000.0,26000.0,121650.0,23900.0,33850.0,14200.0,13400.0,2020,43
210,2020-10-21,11600.0,34750.0,25250.0,39500.0,26250.0,121650.0,24100.0,33750.0,14200.0,13400.0,2020,43
211,2020-10-22,11600.0,34500.0,24850.0,40350.0,26400.0,121650.0,24000.0,33400.0,14200.0,13400.0,2020,43
212,2020-10-23,11600.0,34250.0,25000.0,40250.0,26350.0,121650.0,24000.0,33100.0,14200.0,13400.0,2020,43
213,2020-10-26,11600.0,34650.0,25600.0,42850.0,26750.0,121650.0,23600.0,35150.0,14200.0,13400.0,2020,44
214,2020-10-27,11600.0,34850.0,25400.0,43650.0,27600.0,121650.0,23600.0,35100.0,14200.0,13700.0,2020,44
215,2020-10-28,,,,,,,,,,,2020,44
216,2020-10-29,,,,,,,,,,,2020,44
217,2020-10-30,,,,,,,,,,,2020,44
218,2020-11-02,11600.0,35850.0,25750.0,44400.0,29900.0,121650.0,23650.0,35650.0,14200.0,13700.0,2020,45
219,2020-11-03,11600.0,36100.0,25900.0,43750.0,32600.0,121650.0,23650.0,35750.0,14200.0,13700.0,2020,45
220,2020-11-04,11600.0,35600.0,25650.0,42400.0,32400.0,121650.0,23500.0,34900.0,14200.0,13700.0,2020,45
221,2020-11-05,11600.0,34900.0,25650.0,40750.0,32000.0,121650.0,23250.0,34850.0,14200.0,13700.0,2020,45
